"AGE","FEMALE","EDUC","VET","PRCITSHP","UNION","MJIND","MJOCC","NOEMP","GEDIV","PTOT","PERLIS","HEA","EXPER","WAGE","LNWAGE","NONWHITE"
61,FALSE,16,FALSE,FALSE,TRUE,13,5,6,1,34,4,2,39,51.425,3.94012443553902,FALSE
31,FALSE,16,FALSE,FALSE,FALSE,6,4,3,1,41,4,1,9,10,2.30258509299405,FALSE
28,TRUE,10,FALSE,FALSE,FALSE,5,3,5,1,1,1,1,12,11.6666666666667,2.4567357728213,FALSE
35,TRUE,12,FALSE,FALSE,FALSE,5,4,2,1,12,4,3,17,30.2,3.40784192438082,FALSE
38,FALSE,16,FALSE,FALSE,TRUE,10,2,2,1,25,4,2,16,22.8571428571429,3.12926366617851,FALSE
28,TRUE,12,FALSE,FALSE,FALSE,12,3,2,1,21,4,2,10,23.2558139534884,3.14655516328857,FALSE
53,FALSE,12,FALSE,FALSE,FALSE,5,1,2,1,11,3,5,35,15.4782608695652,2.73943651492288,FALSE
59,TRUE,12,FALSE,FALSE,FALSE,8,5,3,1,11,4,1,41,12.5,2.52572864430826,FALSE
50,FALSE,18,FALSE,FALSE,FALSE,9,2,4,1,21,4,1,26,50,3.91202300542815,FALSE
57,TRUE,14,FALSE,FALSE,FALSE,10,2,2,1,14,4,2,37,18.6756756756757,2.92722191112345,FALSE
35,FALSE,12,FALSE,FALSE,FALSE,4,9,4,1,18,4,2,17,18.2,2.90142159408275,FALSE
35,TRUE,14,FALSE,FALSE,FALSE,10,3,2,1,21,4,2,15,27.46,3.31273040033983,FALSE
66,TRUE,12,FALSE,FALSE,FALSE,10,3,6,1,9,4,2,48,13.96,2.63619609733423,FALSE
29,FALSE,12,FALSE,FALSE,FALSE,5,5,6,1,11,4,2,11,11,2.39789527279837,FALSE
53,TRUE,12,FALSE,FALSE,FALSE,11,3,6,1,12,4,3,35,14.5,2.67414864942653,FALSE
57,FALSE,12,FALSE,FALSE,FALSE,3,7,6,1,33,4,3,39,10.2571428571429,2.32797432699887,FALSE
28,FALSE,12,TRUE,FALSE,FALSE,5,10,6,1,10,4,3,10,14,2.63905732961526,FALSE
46,TRUE,14,FALSE,FALSE,FALSE,10,2,6,1,25,4,3,26,16.575,2.80789553607193,FALSE
46,TRUE,16,FALSE,FALSE,FALSE,10,1,6,1,41,4,4,24,37.3888888888889,3.62137357174856,FALSE
45,FALSE,14,FALSE,FALSE,FALSE,4,1,1,1,11,4,4,25,33.65,3.51601305609074,FALSE
63,TRUE,14,FALSE,FALSE,FALSE,10,5,4,1,25,4,3,43,28.85,3.36210999295411,FALSE
56,FALSE,14,FALSE,FALSE,TRUE,3,9,2,1,22,4,2,36,14.5454545454545,2.67727854243546,FALSE
58,TRUE,12,FALSE,FALSE,TRUE,13,1,6,1,23,4,2,40,26.925,3.29305522304245,FALSE
53,FALSE,12,FALSE,FALSE,TRUE,4,7,6,1,41,4,3,35,31.6666666666667,3.45526460293243,FALSE
49,TRUE,18,FALSE,FALSE,TRUE,10,2,6,1,17,4,3,25,19.7,2.98061863574394,FALSE
19,FALSE,12,FALSE,FALSE,FALSE,5,8,6,1,3,4,2,1,9,2.19722457733622,FALSE
16,FALSE,9,FALSE,FALSE,FALSE,1,6,0,1,1,4,2,1,9,2.19722457733622,FALSE
55,TRUE,16,FALSE,FALSE,FALSE,10,1,6,1,34,4,1,33,41.2,3.71843825635548,FALSE
56,FALSE,12,FALSE,FALSE,TRUE,4,7,6,1,27,4,3,38,28.85,3.36210999295411,FALSE
57,TRUE,12,TRUE,FALSE,FALSE,6,5,6,1,21,4,2,39,24.05,3.18013499655177,FALSE
