"","boring","useless","hard","scary","sex"
"1",1,2,2,2,1
"2",3,3,3,3,2
"3",3,2,3,2,2
"4",4,1,4,4,2
"5",4,2,3,3,2
"6",2,1,2,2,2
"7",2,1,4,4,2
"8",4,3,4,4,2
"9",3,1,2,2,2
"10",4,3,4,4,2
"11",3,2,3,3,2
"12",4,1,3,4,2
"13",3,2,3,3,2
"14",1,1,2,1,2
"15",3,1,2,3,1
"16",3,2,3,3,2
"17",2,1,2,2,2
"18",1,1,2,2,1
"19",1,1,2,2,2
"20",2,2,3,3,2
"21",3,2,2,2,2
"22",3,2,2,2,1
"23",3,3,3,3,2
"24",2,1,1,2,2
"25",2,2,3,2,2
"26",2,1,1,2,2
"27",2,2,2,2,2
"28",3,1,2,3,2
"29",4,2,4,3,2
"30",1,1,2,2,1
"31",4,1,3,3,2
"32",4,2,3,4,2
"33",1,1,1,1,2
"34",2,1,1,2,2
"35",1,1,2,2,2
"36",2,2,3,2,2
"37",2,1,2,2,2
"38",3,2,3,3,2
"39",3,2,2,2,2
"40",2,2,2,2,2
"41",2,1,3,2,2
"42",2,2,3,3,2
"43",3,1,2,3,2
"44",3,1,3,3,2
"45",3,2,3,3,2
"46",2,2,3,2,2
"47",3,2,3,2,1
"48",2,2,3,3,2
"49",3,1,1,3,2
"50",3,2,3,3,2
"51",2,1,2,3,2
"52",2,4,2,2,2
"53",1,1,3,1,2
"54",2,1,2,2,2
"55",1,1,3,3,2
"56",2,1,3,2,2
"57",2,2,2,2,1
"58",2,2,2,3,2
"59",2,3,2,2,2
"60",1,1,2,2,2
"61",3,1,3,3,2
"62",2,1,3,2,1
"63",2,1,2,3,2
"64",2,1,3,2,2
"65",2,1,3,3,2
"66",4,2,2,3,2
"67",2,2,2,3,2
"68",2,1,3,3,2
"69",2,1,2,3,2
"70",2,2,2,2,2
"71",2,3,2,3,2
"72",3,2,3,3,2
"73",3,2,3,3,2
"74",2,1,2,2,2
"75",4,2,3,3,2
"76",3,2,1,2,2
"77",4,2,3,3,2
"78",1,1,2,1,2
"79",3,3,2,3,2
"80",3,2,2,3,2
"81",2,1,2,2,2
"82",1,1,2,2,2
"83",2,1,1,2,2
"84",3,3,2,3,2
"85",3,2,3,2,2
"86",3,1,3,3,2
"87",3,1,3,3,2
"88",1,1,2,1,2
"89",3,1,3,3,2
"90",1,1,1,1,2
"91",3,4,2,3,2
"92",2,2,2,3,2
"93",2,2,2,2,2
"94",2,2,3,3,2
"95",2,1,1,2,1
"96",3,3,3,3,2
"97",1,1,2,2,2
"98",3,1,2,2,2
"99",2,1,2,2,2
"100",2,2,1,2,1
"101",2,2,3,2,2
"102",2,1,2,3,1
"103",1,2,1,2,2
"104",3,3,2,2,2
"105",3,2,2,3,2
"106",1,1,2,1,2
"107",2,1,3,3,2
"108",2,2,2,2,2
"109",2,1,2,2,2
"110",1,1,1,1,2
"111",3,2,3,2,1
"112",4,1,3,4,2
"113",2,2,2,3,2
"114",3,1,2,3,2
"115",2,1,2,3,2
"116",3,1,2,3,2
"117",2,1,2,3,1
"118",1,1,3,2,2
"119",3,1,4,3,2
"120",3,1,1,2,2
"121",1,2,2,2,2
"122",2,2,3,3,2
"123",2,1,2,2,2
"124",1,1,1,1,2
"125",1,1,2,1,2
"126",4,2,2,3,2
"127",3,3,3,3,2
"128",2,1,2,2,2
"129",4,2,2,3,2
"130",1,1,2,1,2
"131",2,2,2,3,1
"132",3,1,2,3,2
"133",3,2,2,3,2
"134",4,2,4,4,2
"135",4,1,3,3,2
"136",4,1,2,3,2
"137",1,1,1,1,2
"138",2,2,2,2,2
"139",1,1,1,1,2
"140",1,1,2,2,2
"141",2,1,2,2,2
"142",2,2,2,2,2
"143",2,3,2,3,1
"144",2,2,3,2,2
"145",4,1,2,2,2
"146",3,2,2,3,2
"147",3,2,4,3,2
"148",1,2,2,2,2
"149",3,1,2,3,1
"150",3,2,2,2,1
"151",2,1,2,2,2
"152",2,1,2,3,2
"153",1,1,2,2,2
"154",1,1,3,1,1
"155",4,3,4,3,2
