"UnitID","Name","enrollment","tuition","endowment","netPrice","Istaff","retention","fresh","SFR","GradRate","Psalary","undergrad","MATH","READ","Name2","USNews"
138600,"Agnes Scott College",872,37236,251001216,20378,73,82,252,10,73,78102,873,26.716,24.46,"Agnes Scott College",70
168546,"Albion College",1265,39313,173147287,24906,109,84,346,11,72,63972,1268,21,21,"Albion College",122
188641,"Alfred University",2407,26261,93754316,20306,151,75,535,12,55,57654,1920,20.0104,19.852,"Alfred University",159
210669,"Allegheny College",1940,42470,162801245,27773,188,83,601,10,78,73287,2023,21.8996,23.308,"Allegheny College",77
168591,"Alma College",1348,35428,102679827,21815,92,79,376,12,61,49248,1396,21,20,"Alma College",146
164465,"Amherst College",1922,50562,1823748203,14687,220,98,466,8,94,108315,1792,29.4564,31.372,"Amherst College",2
143084,"Augustana College",2475,38466,127763186,24651,197,83,627,11,74,66627,2497,21.4273,23.308,"Augustana College",99
222983,"Austin College",1331,36230,124800382,21875,97,86,364,12,76,68400,1278,22.8442,23.308,"Austin College",105
189088,"Bard College",2442,49906,161396088,25275,180,88,489,10,75,98118,2112,24.2611,26.764,"Bard College",49
189097,"Barnard College",2572,47631,240710000,21791,214,95,573,10,89,108387,2573,26.6226,29.068,"Barnard College",27
160977,"Bates College",509,48435,233803986,22062,166,95,500,10,88,92142,1773,25.678,26.764,"Bates College",28
238333,"Beloit College",1311,45050,117227267,24230,115,85,299,10,80,62496,1303,22.8442,23.884,"Beloit College",62
230816,"Bennington College",797,48220,15599787,31995,57,84,140,9,67,82017,660,23.3165,26.764,"Bennington College",90
156295,"Berea College",1633,24870,1012401100,1990,136,84,397,10,62,68004,1621,20,22,"Berea College",60
100937,"Birmingham Southern College",1330,33128,50042970,22250,82,84,356,13,64,67059,1185,23,23,"Birmingham-Southern College",132
161004,"Bowdoin College",1788,48212,1038640000,22289,206,98,497,9,93,100656,1805,29.69255,32.524,"Bowdoin College",6
211273,"Bryn Mawr College",1757,47140,710168000,32285,167,91,365,8,82,94689,1308,25.678,27.34,"Bryn Mawr College",31
211291,"Bucknell University",3585,50152,666563000,33127,403,93,933,10,89,93501,3565,26.6226,26.764,"Bucknell University",32
173258,"Carleton College",2005,49263,700540278,32017,228,97,527,9,93,101214,2057,28.5118,30.796,"Carleton College",7
238476,"Carthage College",3222,38375,64440221,27385,156,80,714,13,61,71001,2856,20,21,"Carthage College",154
158477,"Centenary College of Louisiana",664,33900,122941829,22420,59,80,127,8,52,64287,553,20,21,"Centenary College of Louisiana",147
153108,"Central College",1357,33345,71067325,22510,95,78,309,13,68,63153,1411,20,20,"Central College",133
156408,"Centre College",1366,38200,231243960,24855,126,90,377,10,82,70695,1387,25,26,"Centre College",44
112260,"Claremont McKenna College",1351,49045,599147000,23982,167,96,337,8,90,114759,1301,29.9287,30.796,"Claremont McKenna College",9
153144,"Coe College",1530,39080,92841819,22121,98,78,389,11,70,68859,1435,22,22,"Coe College",119
161086,"Colby College",2057,49120,649992000,18477,173,92,483,10,90,103500,1847,26.6226,27.916,"Colby College",12
190099,"Colgate University",2855,49970,760825400,21649,316,95,759,9,92,100827,2875,28.0395,29.068,"Colgate University",13
174747,"College of Saint Benedict",1972,40846,49499619,25559,153,88,538,12,81,73008,2020,23,23,"College of St. Benedict",87
160959,"College of the Atlantic",357,42084,38242322,16359,26,81,103,10,71,64332,378,22.8442,26.764,"College of the Atlantic",83
166124,"College of the Holy Cross",3163,47176,634912206,26172,285,94,719,10,92,89352,2787,26.6226,27.34,"College of the Holy Cross",33
126678,"Colorado College",2186,48996,688990390,24141,190,94,522,10,86,96687,2050,26.6226,29.068,"Colorado College",24
173300,"Concordia College at Moorhead",2510,35464,92334663,22827,175,83,684,12,72,63441,2381,22,23,"Concordia College--Moorhead",115
128902,"Connecticut College",1998,49350,237035000,24152,203,91,489,9,83,88434,1893,26.1503,27.916,"Connecticut College",50
153162,"Cornell College",1165,38700,66999430,23492,86,83,270,11,66,63918,1086,23,22,"Cornell College",91
139393,"Covenant College",1120,31320,26576823,23238,67,85,295,14,57,62136,1105,22,24,"Covenant College",160
198385,"Davidson College",1910,46966,566028827,22457,179,95,482,10,93,106452,1770,26.6226,27.916,"Davidson College",10
202523,"Denison University",2238,47290,691739982,29412,239,89,582,10,82,76581,2278,24.7334,26.188,"Denison University",51
150400,"DePauw University",2216,44678,549015343,29523,220,93,641,10,80,81936,2215,25,24,"DePauw University",53
212009,"Dickinson College",2485,49489,356738667,33457,229,90,626,10,84,80451,2364,25.678,26.764,"Dickinson College",41
181020,"Doane University-Arts & Sciences",1050,28790,104259540,21786,82,72,287,12,59,52668,1065,19,20,"Doane University",149
184348,"Drew University",2041,46684,182710000,27102,146,84,399,9,62,78516,1417,20.955,21.58,"Drew University",108
150455,"Earlham College",1097,44390,353212572,20589,120,84,253,9,72,63369,993,23.7888,24.46,"Earlham College",68
133492,"Eckerd College",2284,40020,49093600,31893,137,81,452,12,66,64296,2083,20.955,22.156,"Eckerd College",123
212197,"Elizabethtown College",1914,41710,61033859,27681,137,79,530,11,69,74763,1788,21.4273,22.156,"Elizabethtown College",116
212577,"Franklin and Marshall College",2469,50400,306219000,22974,231,91,604,9,87,82188,2209,27.0949,26.188,"Franklin and Marshall College",47
218070,"Furman University",3075,46012,592996843,30607,230,89,755,11,84,81576,2810,23.3165,24.46,"Furman University",54
212674,"Gettysburg College",2650,49140,261569952,33343,225,89,703,10,84,85419,2447,26.1503,27.34,"Gettysburg College",52
162654,"Goucher College",1862,42180,197497000,29854,136,77,401,9,64,69615,1477,20.0104,21.58,"Goucher College",113
153384,"Grinnell College",1692,46990,1553629000,24896,191,94,423,9,89,87921,1734,27,30,"Grinnell College",19
198613,"Guilford College",2061,34090,76293164,25738,113,74,392,14,61,56349,2137,19.0658,18.7,"Guilford College",148
173647,"Gustavus Adolphus College",2456,41620,121520751,25064,215,91,610,11,81,59571,2457,22.3719,24.46,"Gustavus Adolphus College",78
191515,"Hamilton College",1867,49500,773828000,22392,202,96,491,9,91,103842,1904,28.5118,30.22,"Hamilton College",14
232256,"Hampden-Sydney College",1110,41730,134228145,29533,106,83,292,11,67,72369,1105,20.955,21.292,"Hampden-Sydney College",106
150756,"Hanover College",1154,34514,136789516,22046,98,82,334,12,69,69399,1145,19.5381,19.852,"Hanover College",125
191533,"Hartwick College",1605,41440,62867777,24577,111,78,528,11,57,72603,1540,19.0658,18.7,"Hartwick College",161
115409,"Harvey Mudd College",804,50649,241583964,33137,98,97,217,8,90,114885,804,32.2902,31.8328,"Harvey Mudd College",21
212911,"Haverford College",1281,49098,434233554,22409,146,97,330,8,94,88488,1194,28.5118,31.372,"Haverford College",15
