CoB,P.C,L.D,B.D,L.B,Fr,RR,hull
-2.3,0.568,4.78,3.99,3.17,0.125,0.11,1
-2.3,0.568,4.78,3.99,3.17,0.15,0.27,1
-2.3,0.568,4.78,3.99,3.17,0.175,0.47,1
-2.3,0.568,4.78,3.99,3.17,0.2,0.78,1
-2.3,0.568,4.78,3.99,3.17,0.225,1.18,1
-2.3,0.568,4.78,3.99,3.17,0.25,1.82,1
-2.3,0.568,4.78,3.99,3.17,0.275,2.61,1
-2.3,0.568,4.78,3.99,3.17,0.3,3.76,1
-2.3,0.568,4.78,3.99,3.17,0.325,4.99,1
-2.3,0.568,4.78,3.99,3.17,0.35,7.16,1
-2.3,0.568,4.78,3.99,3.17,0.375,11.93,1
-2.3,0.568,4.78,3.99,3.17,0.4,20.11,1
-2.3,0.568,4.78,3.99,3.17,0.425,32.75,1
-2.3,0.568,4.78,3.99,3.17,0.45,49.49,1
-2.3,0.569,4.78,3.04,3.64,0.125,0.04,2
-2.3,0.569,4.78,3.04,3.64,0.15,0.17,2
-2.3,0.569,4.78,3.04,3.64,0.175,0.37,2
-2.3,0.569,4.78,3.04,3.64,0.2,0.66,2
-2.3,0.569,4.78,3.04,3.64,0.225,1.06,2
-2.3,0.569,4.78,3.04,3.64,0.25,1.59,2
-2.3,0.569,4.78,3.04,3.64,0.275,2.33,2
-2.3,0.569,4.78,3.04,3.64,0.3,3.29,2
-2.3,0.569,4.78,3.04,3.64,0.325,4.61,2
-2.3,0.569,4.78,3.04,3.64,0.35,7.11,2
-2.3,0.569,4.78,3.04,3.64,0.375,11.99,2
-2.3,0.569,4.78,3.04,3.64,0.4,21.09,2
-2.3,0.569,4.78,3.04,3.64,0.425,35.01,2
-2.3,0.569,4.78,3.04,3.64,0.45,51.8,2
-2.3,0.565,4.78,5.35,2.76,0.125,0.09,3
-2.3,0.565,4.78,5.35,2.76,0.15,0.29,3
-2.3,0.565,4.78,5.35,2.76,0.175,0.56,3
-2.3,0.565,4.78,5.35,2.76,0.2,0.86,3
-2.3,0.565,4.78,5.35,2.76,0.225,1.31,3
-2.3,0.565,4.78,5.35,2.76,0.25,1.99,3
-2.3,0.565,4.78,5.35,2.76,0.275,2.94,3
-2.3,0.565,4.78,5.35,2.76,0.3,4.21,3
-2.3,0.565,4.78,5.35,2.76,0.325,5.54,3
-2.3,0.565,4.78,5.35,2.76,0.35,8.25,3
-2.3,0.565,4.78,5.35,2.76,0.375,13.08,3
-2.3,0.565,4.78,5.35,2.76,0.4,21.4,3
