"BarackObama"	D
"DonaldTrump"	R
"GeorgeWashington"	O
"GeorgeWBush"	R
"BillClinton"	D
"HillaryClinton"	D
"MittRomney"	R
"JohnMcCain"	R
"LyndonBJohnson"	D
"RonaldReagan"	R
"NewtGingrich"	R
"NancyPelosi"	D
"MikeHuckabee"	R
"JohnBoehner"	R
"JohnBelEdwards"	D
"JohnFKennedy"	D
"RickSantorum"	R
"MitchMcConnell"	R
"RonPaul"	R
"VladimirPutin"	F
"ChuckSchumer"	D
"RichardMNixon"	R
"RudyGiuliani"	R
"HosniMubarak"	F
"GabrielleGiffords"	D
"PaulRyan"	R
"BernieSanders"	D
"JosephBiden"	D
"BasharAl-Assad"	F
"TedCruz"	R
"LindseyGraham"	R
"MikePence"	R
"JeffSessions"	R
"HarryReid"	D
"RickPerry"	R
"JohnKerry"	D
"AbrahamLincoln"	R
"MichaelBloomberg"	R
"MarcoRubio"	R
"ColinCarrie"	X
"JimmyCarter"	D
"GeorgeHWBush"	R
"DickDurbin"	D
"FranklinDRoosevelt"	D
"DwightDEisenhower"	R
"AndrewJackson"	D
"ChrisChristie"	R
"JebBush"	R
"SaddamHussein"	F
"BenjaminNetanyahu"	F
"SarahPalin"	R
"WoodrowWilson"	D
"SusanDavis"	D
"RobertGates"	R
"KimJongUn"	F
"HunorKelemen"	F
"AlexanderHamilton"	O
"TheresaMay"	F
"RodBlagojevich"	D
"MikePompeo"	R
"JonHuntsmanJr"	R
"ElizabethWarren"	D
"MicheleBachmann"	R
"FidelCastro"	F
"BobGibbs"	X
"NikkiHaley"	R
"NicolasMaduro"	F
"Arthur-LucienBeaubien"	F
"UlyssesSGrant"	R
"SarahHuckabeeSanders"	R
"JayCarney"	D
"AngelaMerkel"	F
"StenyHoyer"	D
"HarrySTruman"	D
"HamidKarzai"	F
"DianneFeinstein"	D
"ArnoldSchwarzenegger"	R
"AdolfHitler"	F
"KirstenGillibrand"	D
"HugoChavez"	F
"ZacharyTaylor"	O
"ThomasJefferson"	O
"PatrickLeahy"	D
"MuammarQaddafi"	F
"JohnAdams"	O
"JeffFlake"	R
"ChristopherDodd"	D
"RandPaul"	R
"JohnCornyn"	F
"DavidCameron"	F
"CharlieCrist"	D
"ByronDorgan"	D
"BobCorker"	R
"BenCarson"	R
"BenazirBhutto"	F
"AlGore"	D
"RolandBurris"	D
"RahmEmanuel"	D
"NelsonMandela"	F
"ManuelMartinezGutierrez"	F
"LamarAlexander"	R
"JuanGerardoGuaidoMarquez"	F
"JohnTyler"	O
"JohnKasich"	R
"FrancoisHollande"	F
"DickCheney"	R
"ChuckGrassley"	R
"BobDole"	R
"AlFranken"	D
"SusanCollins"	R
"RickSnyder"	R
"PervezMusharraf"	F
"MaxBaucus"	D
"HassanRouhani"	F
"EricHolder"	D
"BillDeBlasio"	D
"TimKaine"	D
"RayLaHood"	R
"RailaOdinga"	F
"NarendraModi"	F
"MarkWarner"	D
"HowardDean"	D
"EricCantor"	R
"ChuckHagel"	R
"ChrisVanHollen"	D
"BobMenendez"	D
"AbuMazen"	F
"WinstonChurchill"	F
"RonWyden"	D
"RenePreval"	F
"RecepTayyipErdogan"	F
"OrrinHatch"	R
"MohamedMorsi"	F
"MarthaCoakley"	D
"EhudOlmert"	F
"DennisKucinich"	D
"CoryBooker"	D
"ClaireMcCaskill"	D
"CarlyFiorina"	R
"BillRichardson"	D
"AdamSchiff"	D
"WalterMondale"	D
"ValerieJarrett"	D
"TonyBlair"	F
"TheodoreRoosevelt"	R
"SteveKing"	R
"SherrodBrown"	R
"RutherfordBHayes"	R
"PeterKing"	R
"PaulManafort"	R
"PattyMurray"	D
"NouriAl-Maliki"	F
"NicolasSarkozy"	F
"MichelMartelly"	F
"MichaelSSteele"	R
"MichaelLee"	R
"MahmoudAhmadinejad"	R
"KimJongIl"	F
"JuliusCaesar"	F
"JerryBrown"	D
"HenryWaxman"	D
"GordonBrown"	F
"GeorgeSutherland"	X
"DaveCamp"	R
"CharlesEvansHughes"	X
"TomPrice"	R
"TomHarkin"	D
"TedKennedy"	D
"SusanRice"	D
"RobertFKennedy"	D
"RichardCordray"	D
"MichaelBrown"	X
"ManuelValls"	F
"KathleenSebelius"	D
"Justin"	X
"JohnLewis"	D
"JoeManchin"	D
"JimDeMint"	R
"JimClyburn"	D
"JanetNapolitano"	D
"HuJintao"	F
"HerbertHoover"	R
"GeraldFord"	R
"GeorgeWallace"	D
"GeorgeJMitchell"	R
"GaryHart"	D
"DebbieWassermanSchultz"	D
"BenjaminHarrison"	R
"AugustoPinochet"	F
"ArneDuncan"	D
"AndresManuelLopezObrador"	F
"TomCoburn"	R
"TipONeill"	D
"TimScott"	R
"SyngmanRhee"	F
"StromThurmond"	R
"StevenMnuchin"	R
"SamBrownback"	R
"Salman"	F
"RyanKZinke"	R
"RichardReid"	X
"ReincePriebus"	R
"RebeccaEllis"	X
"RaulGrijalva"	D
"PhilAngelides"	D
"LisaMurkowski"	R
"KentConrad"	D
"KenSalazar"	D
"JohnHickenlooper"	D
"JeffMerkley"	D
"Jean-ClaudeDuvalier"	F
"Jean-BertrandAristide"	F
"JamesMonroe"	O
"JamesMadison"	O
"JackReed"	D
"DanielRCoats"	R
"BourkeBHickenlooper"	X
"BobbyJindal"	R
"BenjaminCardin"	D
"AnneGorsuch"	R
"XiJinping"	F
"TomVilsack"	D
"TomUdall"	D
"TimPawlenty"	R
"ThomasCotton"	R
"TerryEBranstad"	R
"TedStevens"	R
"SilvioBerlusconi"	F
"ScottWalker"	R
"RussFeingold"	D
"RobPortman"	R
"RobertLighthizer"	R
"MitchDaniels"	R
"MikhailGorbachev"	F
"MickMulvaney"	R
"MarioCuomo"	D
"MarineLePen"	F
"MargaretThatcher"	F
"MarcusJuniusBrutus"	F
"MaoZedong"	F
"KenLewis"	O
"JohnHoeven"	R
"JimJordan"	R
"JeremyCorbyn"	F
"JasonChaffetz"	R
"JairBolsonaro"	F
"HildaSolis"	D
"HeidiHeitkamp"	D
"HaleyBarbour"	R
"HakeemJeffries"	D
"FranklinPierce"	D
"EnriquePenaNieto"	F
"EhudBarak"	F
"DonVerrilli"	D
"DiosdadoCabello"	F
"DevinNunes"	R
"DavidDreier"	R
"CoryGardner"	R
"BobMcDonnell"	R
"BobGoodlatte"	R
"BarryGoldwaterJr"	R
"BarneyFrank"	D
"ArlenSpecter"	R
"AnthonyWeiner"	D
"AlexanderHamiltonJr"	O
"AdlyMansour"	F
"YasserArafat"	F
"WilliamHowardTaft"	R
"WillHurd"	R
"TzipiLivni"	F
"TomDeLay"	R
"TomDaschle"	D
"TimHuelskamp"	R
"ThaksinShinawatra"	F
"RobertMugabe"	F
"RickTyler"	O
"RichardBurr"	R
"RichardBlumenthal"	D
"PreetBharara"	D
"PeterDeFazio"	D
"PatToomey"	R
"PatrickJosephKennedy"	D
"PatQuinn"	D
"OmarSuleiman"	F
"NormColeman"	D
"NitaLowey"	D
"NigelFarage"	F
"MwaiKibaki"	F
"MichaelThomasFlynn"	D
"MichaelPowell"	R
"MichaelDukakis"	D
"MartinVanBuren"	D
"MarkUdall"	D
"MarkRMeadows"	R
"MarkHarris"	R
"MarkGreen"	R
"MarioDraghi"	F
"LulaDaSilva"	F
"LouiseSlaughter"	D
"LisaJackson"	D
"LeonidBrezhnev"	F
"LeeAtwater"	R
"LaurentFabius"	F
"KimIlSung"	F
"JulianCastro"	F
"JoniKErnst"	R
"JonCorzine"	D
"JohnKellyKing"	X
"JohnHancock"	O
"JohnEngler"	R
"JenniferGranholm"	D
"JayRockefeller"	D
"JamesLankford"	R
"JamesBuchanan"	D
"IleanaRos-Lehtinen"	R
"HaiderAlAbadi"	F
"GroverCleveland"	D
"GeorgeVoinovich"	R
"FrancoisFillon"	F
"FelipeCalderon"	F
"EleanorHolmesNorton"	D
"EdMarkey"	D
"EdKoch"	D
"DickLugar"	R
"DenisMcDonough"	D
"DavidVitter"	R
"DavidPaterson"	D
"DarrellIssa"	R
"DanielWebster"	O
"Confucius"	F
"ChristopherMurphy"	D
"CharlieDent"	R
"CedricRichmond"	D
"CatherineAshton"	F
"CarlLevin"	D
"BobCaseyJr"	D
"BillThomas"	R
"BetoORourke"	D
"AyatollahKhamenei"	F
"AngusKing"	D
"AndrewYoung"	D
"AndrewPuzder"	R
"AhmetDavutoglu"	F
"AdamKinzinger"	R
"ZoeLofgren"	D
"ZineElAbidineBenAli"	F
"YitzhakRabin"	F
"XavierBecerra"	D
"WinnieMandela"	F
"WilliamMcKinley"	R
"WilliamHenryHarrison"	O
"WilliamBarber"	F
"WarrenGHarding"	R
"TulsiGabbard"	D
"TreyGowdy"	R
"TomRidge"	R
"TimWalz"	D
"TimRyan"	D
"TimJohnson"	R
"TerryMcAuliffe"	D
"TedYoho"	R
"TedStrickland"	D
"TammyBaldwin"	D
"SteveStivers"	R
"SteveCohen"	D
"SteveBullock"	D
"SteveBeshear"	D
"ShimonPeres"	F
"SheldonWhitehouse"	D
"SheilaJacksonLee"	D
"ShaunDonovan"	D
"ScottBrown"	R
"SaxbyChambliss"	R
"SamRayburn"	D
"RushHolt"	D
"RubenGallego"	D
"RoyBlunt"	R
"RosaDeLauro"	D
"RobertJBentley"	R
"RickScott"	R
"RichardShelby"	R
"RichardJDaley"	D
"RaulLabrador"	R
"RashidaTlaib"	D
"RandyBergquist"	R
"RafikHariri"	F
"PolPot"	F
"PeteHoekstra"	R
"PaulTsongas"	D
"PaulEvansAidoo"	F
"PatDanner"	D
"NicolaeCeausescu"	F
"MustafaKemalAtaturk"	F
"MoUdall"	D
"MitchLandrieu"	D
"MikeRounds"	R
"MikeFitzpatrick"	R
"MichaelMorell"	O
"MichaelCrapo"	R
"MichaelBragman"	D
"MichaelBennet"	D
"MattBevin"	R
"MartinFrost"	D
"MarshaBlackburn"	R
"MarkPocan"	D
"MarkNeumann"	R
"MarkBegich"	D
"MarionBarry"	D
"MarcyKaptur"	D
"MahindaRajapaksa"	F
"LuisGutierrez"	D
"LouieGohmert"	R
"LoriLightfoot"	D
"LindaMcMahon"	R
"LeeHHamilton"	D
"LamarSmith"	R
"KrisKobach"	R
"KitBond"	R
"KellyAyotte"	R
"KateBrown"	D
"JustinTrudeau"	F
"JustinAmash"	R
"JuddGregg"	R
"JosephLieberman"	D
"JomoKenyatta"	F
"JohnThune"	R
"JohnShadegg"	R
"JohnPrescott"	F
"JohnMyers"	D
"JohnMagufuli"	F
