"NGA","Polity","Section","Subsection","Variable","Value.From","Value.To","Date.From","Date.To","Fact.Type","Value.Note","Date.Note","Comment"
"Ghanaian Coast","GhAshnE","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","3",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Hierarchical Complexity","Administrative levels","4",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Hierarchical Complexity","Religious levels","3",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Hierarchical Complexity","Military levels","5",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Professions","Professional military officers","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Professions","Professional soldiers","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Law","Judges","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Law","Courts","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Specialized Buildings: polity owned","Roads","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Information","Written records","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Information","Script","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Information","Phonetic alphabetic writing","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Information","Calendar","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Information","Religious literature","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Information","Practical literature","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Information","History","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Information","Philosophy","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnE","Social Complexity variables","Other","Indigenous coins","absent",NA,"","","simple","simple","",""
