Location,FIPS,Life_expectancy,Alcohol,Drugs,SelfHarm
"United States",0,79.08,13.86,10.37,13.86
Alabama,1,75.65,16.72,11.87,16.72
"Autauga County, Alabama",1001,75.67,18.19,7.32,18.19
"Baldwin County, Alabama",1003,78.08,18.51,13.3,18.51
"Barbour County, Alabama",1005,75.42,16.2,5.4,16.2
"Bibb County, Alabama",1007,73.97,19.95,13.03,19.95
"Blount County, Alabama",1009,76.16,19.09,14.38,19.09
"Bullock County, Alabama",1011,73.86,12.01,5.63,12.01
"Butler County, Alabama",1013,73.39,17.81,6.45,17.81
"Calhoun County, Alabama",1015,74.02,20.16,11.51,20.16
"Chambers County, Alabama",1017,74.06,16.69,8.65,16.69
"Cherokee County, Alabama",1019,75.08,25.9,11.15,25.9
"Chilton County, Alabama",1021,74.53,20.21,12.96,20.21
"Choctaw County, Alabama",1023,75.29,13.05,6.68,13.05
"Clarke County, Alabama",1025,75.46,14.42,5.97,14.42
"Clay County, Alabama",1027,75.06,18.45,7.5,18.45
"Cleburne County, Alabama",1029,74.3,26.27,11.37,26.27
"Coffee County, Alabama",1031,76.48,14.89,5.83,14.89
"Colbert County, Alabama",1033,75.07,21.26,8.31,21.26
"Conecuh County, Alabama",1035,74.05,21.7,10.51,21.7
"Coosa County, Alabama",1037,75.19,20.1,10.27,20.1
"Covington County, Alabama",1039,75.15,18.7,7.12,18.7
"Crenshaw County, Alabama",1041,74.07,17.5,7.56,17.5
"Cullman County, Alabama",1043,75.31,19.31,14.49,19.31
"Dale County, Alabama",1045,76.26,14.68,7.8,14.68
"Dallas County, Alabama",1047,72.39,13.88,6.84,13.88
"DeKalb County, Alabama",1049,75.25,18.67,10.77,18.67
"Elmore County, Alabama",1051,75.93,16.73,6.19,16.73
"Escambia County, Alabama",1053,74.15,22.63,11.19,22.63
"Etowah County, Alabama",1055,73.85,20.03,14.28,20.03
"Fayette County, Alabama",1057,73.98,22.49,16.47,22.49
"Franklin County, Alabama",1059,73.31,21.34,17.26,21.34
"Geneva County, Alabama",1061,75.54,17.75,6.46,17.75
"Greene County, Alabama",1063,74.05,17.11,6.91,17.11
"Hale County, Alabama",1065,74.01,13.76,6.58,13.76
"Henry County, Alabama",1067,75.97,16.02,6.31,16.02
"Houston County, Alabama",1069,76.81,13.61,9.57,13.61
"Jackson County, Alabama",1071,74.13,21.97,10.29,21.97
"Jefferson County, Alabama",1073,75.34,15.33,22.64,15.33
"Lamar County, Alabama",1075,74.83,16.33,9.57,16.33
"Lauderdale County, Alabama",1077,76.5,17.34,10.38,17.34
"Lawrence County, Alabama",1079,74.33,22.84,13.83,22.84
"Lee County, Alabama",1081,76.52,12.93,5.41,12.93
"Limestone County, Alabama",1083,77.21,16.54,6.71,16.54
"Lowndes County, Alabama",1085,72.57,13.82,4.59,13.82
"Macon County, Alabama",1087,72.81,14.14,7.37,14.14
"Madison County, Alabama",1089,78.07,15.29,6.28,15.29
"Marengo County, Alabama",1091,74.68,11.36,6.43,11.36
"Marion County, Alabama",1093,74.54,19.97,7.2,19.97
"Marshall County, Alabama",1095,74.53,19.98,13.49,19.98
"Mobile County, Alabama",1097,75.13,15.58,11.82,15.58
"Monroe County, Alabama",1099,74.97,16.18,7.93,16.18
"Montgomery County, Alabama",1101,75.83,12.63,6.05,12.63
