"state","county","stname","ctyname","tot_pop","tot_male","tot_female","white","black","native","pacific","more","hispanic"
1,1001,"Alabama","Autauga County",55416,26994,28422,42769,10685,269,56,1005,1490
1,1003,"Alabama","Baldwin County",208563,101241,107322,181835,19184,1608,124,3570,9211
1,1005,"Alabama","Barbour County",25965,13779,12186,12929,12435,164,45,275,1094
1,1007,"Alabama","Bibb County",22643,12145,10498,17334,4932,86,27,219,566
1,1009,"Alabama","Blount County",57704,28498,29206,55365,930,362,65,829,5233
1,1011,"Alabama","Bullock County",10362,5600,4762,2733,7299,94,76,133,807
1,1013,"Alabama","Butler County",19998,9322,10676,10612,8887,76,10,198,262
1,1015,"Alabama","Calhoun County",114611,55138,59473,86586,24111,596,113,2151,4100
1,1017,"Alabama","Chambers County",33843,16243,17600,19518,13448,100,21,389,765
1,1019,"Alabama","Cherokee County",25725,12769,12956,23950,1110,162,8,429,413
1,1021,"Alabama","Chilton County",43941,21605,22336,38322,4539,226,77,568,3341
1,1023,"Alabama","Choctaw County",12993,6180,6813,7452,5407,28,1,85,125
1,1025,"Alabama","Clarke County",24392,11539,12853,13125,10804,111,5,225,348
1,1027,"Alabama","Clay County",13492,6616,6876,11219,1908,73,0,259,411
1,1029,"Alabama","Cleburne County",14924,7421,7503,14170,474,65,12,176,366
1,1031,"Alabama","Coffee County",51226,25319,25907,39006,9056,720,216,1446,3570
1,1033,"Alabama","Colbert County",54216,26158,28058,43783,8747,352,28,1003,1341
1,1035,"Alabama","Conecuh County",12395,5961,6434,6353,5802,48,4,166,248
1,1037,"Alabama","Coosa County",10581,5369,5212,7074,3268,65,17,143,233
1,1039,"Alabama","Covington County",37458,18073,19385,31652,4806,251,3,561,611
1,1041,"Alabama","Crenshaw County",13913,6794,7119,10062,3289,85,3,256,261
1,1043,"Alabama","Cullman County",82471,40731,41740,79375,1042,503,57,1040,3567
1,1045,"Alabama","Dale County",49226,24264,24962,36703,10046,426,85,1341,3026
1,1047,"Alabama","Dallas County",40008,18480,21528,11276,28110,95,15,325,426
1,1049,"Alabama","DeKalb County",70900,35086,35814,65761,1296,1467,483,1589,10110
1,1051,"Alabama","Elmore County",81799,39665,42134,61987,17382,387,100,1348,2318
1,1053,"Alabama","Escambia County",37728,19384,18344,23371,12130,1359,21,744,820
1,1055,"Alabama","Etowah County",102564,49646,52918,83061,16023,651,300,1699,3894
1,1057,"Alabama","Fayette County",16546,8179,8367,14258,1967,74,0,202,262
1,1059,"Alabama","Franklin County",31628,15793,15835,28919,1521,477,77,507,5310
1,1061,"Alabama","Geneva County",26614,13068,13546,23217,2539,269,21,484,1027
1,1063,"Alabama","Greene County",8422,4001,4421,1528,6788,24,0,61,100
