FIPS,State,Area_name,Unemployment_rate_2018,Median_Household_Income_2017,PCT_less_HS_17,PCT_HS_17,"PCT_some_college_17",PCT_BA_17,PCTPOVALL_2017
0,US,"United States",3.9,60336,12.7,27.3,29.1,30.9,13.4
1,AL,Alabama,3.9,48193,14.7,30.9,29.9,24.5,16.9
1001,AL,"Autauga County, AL",3.6,58343,12.3,33.6,29.1,25,13.4
1003,AL,"Baldwin County, AL",3.6,56607,9.8,27.8,31.7,30.7,10.1
1005,AL,"Barbour County, AL",5.2,32490,26.9,35.5,25.5,12,33.4
1007,AL,"Bibb County, AL",4,45795,17.9,43.9,25,13.2,20.2
1009,AL,"Blount County, AL",3.5,48253,20.2,32.3,34.4,13.1,12.8
1011,AL,"Bullock County, AL",4.7,29113,28.6,36.6,21.4,13.4,34.4
1013,AL,"Butler County, AL",4.8,36842,18.9,40.4,24.5,16.1,21.3
1015,AL,"Calhoun County, AL",4.7,45937,16.8,32.2,33.1,17.9,17.7
1017,AL,"Chambers County, AL",3.9,36883,19.1,38.4,29.1,13.3,18.2
1019,AL,"Cherokee County, AL",3.6,44842,20.5,38.2,28.9,12.5,17.2
1021,AL,"Chilton County, AL",3.6,46405,18.2,43.4,23.3,15.1,16.8
1023,AL,"Choctaw County, AL",5.5,36711,19.9,39.9,28.6,11.6,23.7
1025,AL,"Clarke County, AL",7.5,36719,18.5,44.3,24.2,13,23.3
1027,AL,"Clay County, AL",3.9,39642,26.7,33.7,29.3,10.3,18.1
1029,AL,"Cleburne County, AL",4.2,45480,24.2,37.4,26,12.4,16.1
1031,AL,"Coffee County, AL",3.9,51998,14.6,29.3,33.4,22.7,15.5
1033,AL,"Colbert County, AL",4.6,46100,16.1,33.7,31.4,18.8,15.4
1035,AL,"Conecuh County, AL",5.2,30796,21,48,22.3,8.8,23.7
1037,AL,"Coosa County, AL",4.2,42442,23.2,38.5,27.3,11,17.4
1039,AL,"Covington County, AL",4.6,39093,18,35.6,31,15.5,17.7
1041,AL,"Crenshaw County, AL",4.1,38419,20.7,37.8,25.2,16.3,19.9
1043,AL,"Cullman County, AL",3.3,45925,17.9,35.9,31.3,14.9,13.8
1045,AL,"Dale County, AL",4.2,42572,14,32.6,36.6,16.8,17.7
1047,AL,"Dallas County, AL",6.5,31329,18.7,36.6,30.5,14.2,27.9
1049,AL,"DeKalb County, AL",3.8,39906,26.4,34,26.6,13,19.5
1051,AL,"Elmore County, AL",3.4,59652,13.6,34.1,29.5,22.8,12
1053,AL,"Escambia County, AL",4.6,37870,19,43.8,25,12.1,23.3
1055,AL,"Etowah County, AL",4.1,41791,16.9,32.5,33.7,16.9,18.1
1057,AL,"Fayette County, AL",4.1,39394,20.4,37.9,27.1,14.6,19.4
1059,AL,"Franklin County, AL",3.7,41025,23.6,37.5,25.5,13.4,20.5
1061,AL,"Geneva County, AL",3.9,38561,21,35.7,32.2,11.1,21.7
1063,AL,"Greene County, AL",6.7,28108,23.4,37,28.2,11.4,33.2
1065,AL,"Hale County, AL",5.1,34905,18.9,42.7,23.9,14.4,25.1
1067,AL,"Henry County, AL",4.4,48094,19.4,33.9,29.7,17.1,17
1069,AL,"Houston County, AL",4,44753,14.7,31.9,32.5,20.9,16.6
1071,AL,"Jackson County, AL",4.1,42658,18.6,40.7,27.3,13.4,16.6
1073,AL,"Jefferson County, AL",3.7,50731,10.6,26.8,30.7,31.9,16.7
1075,AL,"Lamar County, AL",3.8,39796,20.5,37.6,28.7,13.3,18.7
1077,AL,"Lauderdale County, AL",4.2,46646,14.1,35.3,28.1,22.5,13.7
1079,AL,"Lawrence County, AL",4.2,42912,22,40.8,27,10.2,16.8
1081,AL,"Lee County, AL",3.6,51372,10.1,24.5,30.6,34.9,17.8
1083,AL,"Limestone County, AL",3.5,57342,16.3,30.7,28.5,24.6,11.9
1085,AL,"Lowndes County, AL",7.3,33130,24,36.1,26.1,13.7,25.9
1087,AL,"Macon County, AL",5.5,30849,18.4,32.3,29.2,20.1,30.6
1089,AL,"Madison County, AL",3.5,62750,9.2,21.1,29.2,40.6,12.8
1091,AL,"Marengo County, AL",5,37469,16.8,39.6,28.1,15.4,22.8
1093,AL,"Marion County, AL",4.1,38049,19.3,35.3,31.9,13.4,19.3
1095,AL,"Marshall County, AL",3.4,42751,20,31.3,31,17.7,20.1
1097,AL,"Mobile County, AL",4.7,45615,13.7,32.6,30.6,23,19.7
