"AggravatedAssaultRate","Area","AverageACTCompositeScore","AverageACTEnglishScore","AverageACTMathematicsScore","AverageACTReadingScore","AverageACTScienceScore","AverageSalePrice","AverageSATCriticalReadingScore","AverageSATMathematicsScore","AverageSATWritingScore","AverageTotalSATScore","BurglaryRate","CivilianLaborForce","CivilianUnemploymentRate","CrimeRate","EarningsAverage","Employment","FarmLandArea","FederalGovernmentExpenditure","FederalGovernmentExpenditurePerCapita","FIPSCode","ForcibleRapeRate","ForeignBornFraction","FractionOfGraduatesTakingACT","FractionOfGraduatesTakingSAT","GiniIndex","GovernmentEmployment","GrossStateProduct","HealthInsuranceCoverageRate","HighestElevation","HomeOwnershipRate","InfantDeaths","LandArea","LarcenyTheftRate","LowestElevation","MedianAge","MedianHouseholdIncome","MedianSalePrice","MinimumWage","MotorVehicleTheftRate","MurderNonnegligentManslaughterRate","Name","OwnerOccupiedHousingMedianValue","OwnerOccupiedHousingUnitsFraction","PerCapitaIncome","PerCapitaPersonalIncome","PersonsPerHousehold","Population","PopulationDensity","PropertyCrimeRate","RobberyRate","StateAbbreviation","StateGovernmentTaxCollections","TotalVoterRegistrationRate","TotalVotingRate","ViolentCrimeRate","Workforce","BusinessEthnicOwnershipFractionsAmerindian","BusinessEthnicOwnershipFractionsAsian","BusinessEthnicOwnershipFractionsBlack","BusinessEthnicOwnershipFractionsHispanic","BusinessEthnicOwnershipFractionsPacificIslander","BusinessEthnicOwnershipFractionsWhite"
0.003878,52420.065,19.1,18.8,18.4,19.7,19.1,153099,545,538,533,1616,0.006457,2240309,3.5,0.034815,41148,2618073,9033537,56047825,11.9030156467549,1,0.000416,3.4,100,6.1,0.4769,409942,221126300000,17,2404.85564304462,70.3,571,50645.325,0.020481,0,38.6,44758,128969,7.25,0.002634,8.3e-05,"Alabama",120800,70.7,24736,40805,2.62448372236041,4849377,92.509938703815,0.029573,0.000865,"AL",10999415000,67.9617,56.3712,0.005242,2088200,0.8,1.8,14.8,1.2,0.1,81.3
0.005754,665384.046,21.1,20.1,21.1,21.9,20.9,263931,509,503,482,1494,0.005638,351994,6.4,0.043711,50830,445031,881585,11922341,17.0691508476348,2,0.001167,7.2,39,51.9,0.4174,104824,54011200000,6,20334.6456692913,63.7,76,570640.95,0.024027,0,33.6,74444,241750,9.89,0.005756,8.4e-05,"Alaska",235100,64.3,34191,57179,2.86097370371564,736732,1.10722823071715,0.035421,0.001285,"AK",710549000,69.0653,59.4061,0.00829,353100,10,3.1,1.5,0,0.3,85.1
0.00345,113990.301,19.9,18.8,20.2,20.2,19.7,182553,523,527,502,1552,0.005363,3518773,4.9,0.034229,43927,3520657,26117899,62943007,9.54292382187515,4,0.00051,14.2,56,34.3,0.4682,448567,346791900000,10,12631.2335958005,65.7,651,113594.085,0.02107,68.8976377952756,37.1,51340,147669,11,0.002716,5.9e-05,"Arizona",197400,66.6,26686,42280,2.74751984553409,6731484,59.0531294412496,0.029149,0.00106,"AZ",16187563000,60.5332,53.288,0.00508,2874700,1.9,3.3,2,10.7,0,82.1
0.004136,53178.541,20.4,20,20,20.9,20.3,139124,568,569,551,1688,0.007277,1362631,3.5,0.036335,37501,1606087,13872862,28025429,9.69922615030542,5,0.000683,4.3,93,4.1,0.4708,231865,128081700000,7,2755.90551181102,64.7,350,52035.478,0.021095,55.7742782152231,37.7,42336,120560,9.25,0.002414,8.6e-05,"Arkansas",105100,67.5,23401,41046,2.61013074294144,2966369,55.7813160011291,0.030786,0.000644,"AR",9759456000,65.6858,56.0106,0.005549,1278000,1.1,1.4,5.5,2.3,0.1,89.6
0.002642,163694.741,22.5,22.1,22.7,22.6,22,391609,495,506,491,1492,0.004469,19421468,4.2,0.02946,54896,21245509,25364695,331030869,8.95605968930403,6,0.000372,27.2,30,60.4,0.488,2718385,2968117600000,11,14504.593175853,55.1,2835,155779.218,0.016239,-282.152230971129,36,63783,330037,12,0.004259,4.6e-05,"California",421600,56.7,31458,59796,3.00608415238074,38802500,237.041824086456,0.024967,0.001432,"CA",174829364000,53.8432,48.2247,0.004493,17526300,1.3,14.9,4,16.5,0.3,63
0.002269,104093.667,20.7,20.2,20.4,21,20.8,267924,582,587,567,1736,0.004069,3143351,3,0.030697,49594,3215903,31604911,46028683,9.16039630246134,8,0.000688,9.8,100,12.3,0.459,423713,368795100000,23,14438.9763779528,64.4,404,103641.888,0.019049,3313.64829396325,36.4,62520,217558,11.1,0.003899,3.9e-05,"Colorado",236700,66.8,33230,54646,2.62079387834758,5355866,51.4523712571294,0.027016,0.000684,"CO",14699541000,68.2105,63.8187,0.003681,2802900,0.8,2.6,1.7,6.2,0.1,88.6
0.001234,5543.415,24.4,24.5,24.1,24.7,23.8,341436,504,506,504,1514,0.002478,1907514,3.7,0.019979,63127,2235248,405616,53019842,15.0697845088293,9,0.000233,13.2,32,89.3,0.4947,268267,274179500000,40,2381.88976377953,65.3,260,4842.356,0.013185,0,40.6,71755,266845,10.1,0.002037,2.8e-05,"Connecticut",293100,68.9,39906,71823,2.62952447657403,3590886,647.775062844835,0.017699,0.000784,"CT",19080965000,63.9071,57.489,0.00228,1712400,0.5,3.3,4.4,4.2,0,87.6
0.003005,2488.725,23.5,23.2,23,24.1,23.1,247793,462,461,445,1368,0.004127,488776,3.2,0.02894,52446,548130,510253,7982219,9.01821330844787,10,0.000347,8.2,21,100,0.4488,70838,74973300000,35,449.475065616798,70.8,99,1948.544,0.018856,0,39.6,61017,216902,8.75,0.001423,5.6e-05,"Delaware",244100,73,31118,49673,2.70756455061075,935614,375.941094335453,0.024406,0.001125,"DE",4218557000,66.8086,57.1709,0.004534,472000,0,4,8.7,2.1,0,85.2
0.005463,68.34,21.1,20.5,21.1,21.5,20.7,506654,441,440,432,1313,0.002607,NA,NA,0.052888,89707,813734,0,60719306,101.256728429752,11,0.00064,13,42,100,0.5334,248990,140279900000,44,410.10498687664,NA,96,61.048,0.036504,0,33.8,72935,404380,13.25,0.003728,0.000167,"District of Columbia",442600,42.8,48781,79989,2.33845023842187,658893,9641.39596136962,0.042839,0.00378,"DC",NA,75.8587,68.7232,0.010049,NA,0.9,5.9,28.2,6.1,0,58.9
0.002765,65757.702,19.9,18.9,19.6,21,19.5,183843,486,480,468,1434,0.004234,10338233,3.4,0.029204,41895,10679883,9231570,180887431,9.75767253683508,12,0.000378,19.2,79,74.3,0.4852,1208984,1036323200000,4,344.488188976378,65.5,1717,53624.759,0.018845,0,41.6,48900,144501,8.46,0.002045,5e-05,"Florida",188600,69,27598,47684,2.6285083248006,19893297,302.524212296835,0.025124,0.000886,"FL",45925004000,59.2763,52.9428,0.00408,8904000,0.5,3.2,9,22.4,0.1,64.8
