Date,Open,High,Low,Close,Adj Close,Volume
1999-03-05,7.000000,7.000000,6.906250,6.937500,4.574314,450400
1999-03-08,7.046875,7.046875,6.875000,6.875000,4.533102,290400
1999-03-09,6.875000,7.000000,6.718750,6.796875,4.481592,186400
1999-03-10,6.812500,6.906250,6.750000,6.812500,4.491891,163600
1999-03-11,6.781250,6.781250,6.671875,6.781250,4.471288,179200
1999-03-12,6.671875,6.828125,6.671875,6.718750,4.430078,361600
1999-03-15,6.718750,6.750000,6.656250,6.695300,4.414615,180400
1999-03-16,6.687500,6.734375,6.468750,6.468750,4.265237,155200
1999-03-17,6.500000,6.562500,6.375000,6.500000,4.285843,426000
1999-03-18,6.375000,6.500000,6.375000,6.468750,4.265237,128400
1999-03-19,6.390625,6.531250,6.390625,6.437500,4.244631,147600
1999-03-22,6.359375,6.515625,6.359375,6.382800,4.208563,137600
1999-03-23,6.375000,6.406250,6.312500,6.343750,4.182818,287200
1999-03-24,6.312500,6.375000,6.312500,6.359375,4.193120,193200
1999-03-25,6.359375,6.406250,6.359375,6.406250,4.224027,57600
1999-03-26,6.437500,6.500000,6.359375,6.500000,4.285843,262800
1999-03-29,6.359375,6.703125,6.359375,6.679675,4.404314,395200
1999-03-30,6.656250,6.656250,6.500000,6.562500,4.327053,588800
1999-03-31,6.562500,6.593750,6.343750,6.359375,4.193120,796000
1999-04-01,6.500000,6.500000,6.375000,6.437500,4.244631,100000
1999-04-05,6.437500,6.546875,6.375000,6.484375,4.275539,105200
1999-04-06,6.406250,6.625000,6.406250,6.593750,4.347657,204800
1999-04-07,6.500000,6.531250,6.468750,6.515625,4.296145,141600
1999-04-08,6.437500,6.562500,6.406250,6.468750,4.265237,405600
1999-04-09,6.531250,6.531250,6.437500,6.484375,4.275539,117600
1999-04-12,6.437500,6.500000,6.437500,6.484375,4.275539,125600
1999-04-13,6.437500,6.562500,6.421875,6.515625,4.296145,441200
1999-04-14,6.593750,6.765625,6.531250,6.687500,4.409474,794400
1999-04-15,6.687500,6.781250,6.687500,6.750000,4.450683,715200
1999-04-16,6.718750,6.781250,6.718750,6.773425,4.466129,430400
1999-04-19,6.843750,7.031250,6.765625,6.968750,4.594917,1277600
1999-04-20,6.843750,7.031250,6.781250,6.843750,4.512497,261200
1999-04-21,6.953125,7.250000,6.875000,7.218750,4.759758,1750800
1999-04-22,7.218750,7.343750,7.218750,7.328125,4.831876,872000
1999-04-23,7.296875,7.296875,7.062500,7.218750,4.759758,343600
1999-04-26,7.171875,7.343750,7.125000,7.343750,4.842178,561600
1999-04-27,7.312500,7.453125,7.312500,7.312500,4.821572,756800
1999-04-28,7.281250,7.343750,7.093750,7.250000,4.780364,448000
1999-04-29,7.250000,7.281250,7.140625,7.250000,4.780364,240800
1999-04-30,7.218750,7.500000,7.203125,7.484375,4.934902,1464400
1999-05-03,7.484375,8.000000,7.453125,7.640625,5.037926,3363200
1999-05-04,7.750000,8.015625,7.656250,7.921875,5.223371,1439600
1999-05-05,7.812500,8.015625,7.812500,7.984375,5.264583,1077200
1999-05-06,7.937500,8.234375,7.906250,8.125000,5.357303,1516000
1999-05-07,8.171875,8.265625,7.875000,7.937500,5.233672,1044800
1999-05-10,7.875000,8.125000,7.875000,8.125000,5.357303,765200
1999-05-11,8.062500,8.250000,8.000000,8.171875,5.388208,694400
1999-05-12,8.187500,8.500000,8.125000,8.500000,5.604564,822400
1999-05-13,8.484375,8.781250,8.468750,8.531250,5.625169,1917600
1999-05-14,8.484375,8.484375,8.093750,8.125000,5.357303,1567200
1999-05-17,8.156250,8.171875,8.093750,8.156250,5.377909,1408800
1999-05-18,8.125000,8.156250,7.875000,7.875000,5.192463,1112800
1999-05-19,7.875000,7.906250,7.796875,7.843750,5.171859,457600
1999-05-20,7.937500,8.109375,7.937500,7.937500,5.233672,303600
1999-05-21,8.031250,8.062500,7.906250,8.000000,5.274884,328800
1999-05-24,8.031250,8.062500,7.687500,7.687500,5.068833,259600
1999-05-25,7.703125,7.906250,7.703125,7.906250,5.213068,607600
1999-05-26,7.781250,8.062500,7.781250,8.062500,5.316092,132000
1999-05-27,8.000000,8.062500,7.968750,8.031250,5.295488,482000
1999-05-28,8.000000,8.093750,8.000000,8.078125,5.326394,609600
1999-06-01,8.046875,8.562500,8.046875,8.562500,5.645773,656800
1999-06-02,8.500000,8.734375,8.500000,8.734375,5.759100,580400
1999-06-03,8.750000,8.765625,8.437500,8.562500,5.645773,862400
1999-06-04,8.546875,8.562500,8.265625,8.375000,5.522143,296400
1999-06-07,8.320300,8.382800,8.218750,8.265625,5.450027,460400
1999-06-08,8.250000,8.312500,8.125000,8.203125,5.455011,833200
1999-06-09,8.140625,8.187500,7.750000,7.812500,5.195251,346000
1999-06-10,7.750000,7.937500,7.750000,7.875000,5.236813,702000
1999-06-11,7.875000,8.015625,7.843750,7.953125,5.288766,811600
1999-06-14,8.000000,8.000000,7.906250,7.937500,5.278373,242400
1999-06-15,7.937500,7.968750,7.843750,7.968750,5.299157,130000
1999-06-16,7.937500,8.500000,7.937500,8.468750,5.631652,280800
1999-06-17,8.468750,8.687500,8.343750,8.640625,5.745946,418000
1999-06-18,8.734375,8.937500,8.687500,8.859375,5.891413,1032000
1999-06-21,8.859375,9.000000,8.859375,8.906250,5.922586,826000
1999-06-22,8.859375,8.937500,8.750000,8.796875,5.849852,276400
1999-06-23,8.750000,8.968750,8.750000,8.937500,5.943367,864800
1999-06-24,9.000000,9.000000,8.640625,8.734375,5.808290,269200
1999-06-25,8.750000,8.937500,8.750000,8.890625,5.912197,125200
1999-06-28,8.921875,9.171875,8.812500,9.171875,6.099225,525600
1999-06-29,9.125000,9.406250,9.093750,9.156250,6.088835,483600
1999-06-30,9.125000,9.250000,9.078125,9.187500,6.109613,615600
1999-07-01,9.156250,9.187500,8.875000,9.125000,6.068052,444000
1999-07-02,9.109375,9.406250,9.109375,9.343750,6.213518,349200
1999-07-06,9.343750,9.375000,9.203125,9.218750,6.130393,127600
1999-07-07,9.203125,9.234375,8.437500,8.437500,5.610870,876800
1999-07-08,8.593750,8.781250,8.546875,8.765625,5.829069,439600
1999-07-09,8.781250,8.843750,8.687500,8.781250,5.839461,971200
1999-07-12,8.781250,8.875000,8.750000,8.796875,5.849852,149600
1999-07-13,8.812500,8.812500,8.562500,8.718750,5.797899,125600
1999-07-14,8.734375,8.750000,8.562500,8.562500,5.693994,644800
1999-07-15,8.546875,8.703125,8.531250,8.640625,5.745946,369200
1999-07-16,8.625000,8.625000,8.500000,8.609375,5.725166,299600
1999-07-19,8.625000,8.781250,8.531250,8.781250,5.839461,162400
1999-07-20,8.812500,9.093750,8.687500,9.093750,6.047273,446400
1999-07-21,9.125000,9.156250,8.968750,9.031250,6.005711,105200
1999-07-22,9.046875,9.046875,8.703125,8.812500,5.860240,175200
1999-07-23,8.781250,8.968750,8.750000,8.781250,5.839461,278000
1999-07-26,8.687500,9.093750,8.656250,8.953125,5.953755,207200
1999-07-27,8.937500,9.062500,8.937500,8.968750,5.964148,128000
1999-07-28,8.984375,8.984375,8.671875,8.781250,5.839461,150800
1999-07-29,8.656250,8.750000,8.640625,8.750000,5.818680,89200
1999-07-30,8.750000,8.843750,8.578125,8.843750,5.881023,244400
1999-08-02,8.921875,9.000000,8.812500,8.906250,5.922586,189200
1999-08-03,8.906250,8.906250,8.593750,8.609375,5.725166,157600
1999-08-04,8.546875,8.546875,8.468750,8.468750,5.631652,230000
1999-08-05,8.484375,8.984375,8.468750,8.968750,5.964148,198400
1999-08-06,8.875000,8.890625,8.812500,8.828125,5.870634,17200
1999-08-09,8.812500,8.859375,8.562500,8.578125,5.704387,232400
1999-08-10,8.531250,8.609375,8.468750,8.531250,5.673214,458000
1999-08-11,8.562500,8.562500,8.437500,8.500000,5.652435,356000
1999-08-12,8.500000,8.500000,8.125000,8.125000,5.403060,149200
1999-08-13,8.203125,8.328125,8.187500,8.312500,5.527746,413200
1999-08-16,8.281250,8.343750,8.281250,8.312500,5.527746,69200
1999-08-17,8.312500,8.312500,8.093750,8.250000,5.486186,361200
1999-08-18,8.296875,8.296875,8.062500,8.109375,5.392670,234400
1999-08-19,8.078125,8.218750,7.953125,8.218750,5.465403,412800
1999-08-20,8.156250,8.406250,8.156250,8.328125,5.538138,227200
1999-08-23,8.343750,8.359375,8.125000,8.312500,5.527746,149600
1999-08-24,8.312500,8.359375,8.250000,8.281250,5.506965,164800
1999-08-25,8.359375,8.390625,8.250000,8.359375,5.558918,307200
1999-08-26,8.359375,8.375000,8.250000,8.250000,5.486186,57600
1999-08-27,8.250000,8.250000,7.906250,7.968750,5.299157,174800
1999-08-30,8.062500,8.187500,7.687500,7.687500,5.112127,433200
1999-08-31,7.789050,7.968750,7.750000,7.875000,5.236813,710000
1999-09-01,7.843750,7.984375,7.843750,7.890625,5.247202,380400
1999-09-02,7.859375,7.859375,7.625000,7.765625,5.164079,201600
1999-09-03,7.781250,8.375000,7.718750,8.359375,5.558918,310800
1999-09-07,8.296875,8.343750,8.203125,8.343750,5.548529,156800
1999-09-08,8.203125,8.250000,8.171875,8.250000,5.532601,385600
1999-09-09,8.218750,8.625000,8.218750,8.625000,5.784081,172000
1999-09-10,8.546875,8.687500,8.421875,8.500000,5.700257,163600
1999-09-13,8.437500,8.500000,8.218750,8.218750,5.511643,322800
1999-09-14,8.218750,8.531250,8.218750,8.484375,5.689776,185600
1999-09-15,8.468750,8.812500,8.468750,8.625000,5.784081,290400
1999-09-16,8.593750,8.625000,8.187500,8.234375,5.522121,304400
1999-09-17,8.312500,8.531250,8.296875,8.375000,5.616427,242800
1999-09-20,8.437500,8.500000,8.343750,8.343750,5.595472,474400
1999-09-21,8.343750,8.343750,8.187500,8.343750,5.595472,1202400
1999-09-22,8.234375,8.289050,8.218750,8.250000,5.532601,74400
1999-09-23,8.250000,8.359375,8.218750,8.218750,5.511643,188000
1999-09-24,8.218750,8.250000,8.140625,8.187500,5.490685,291600
1999-09-27,8.296875,8.500000,8.250000,8.429675,5.653094,156000
1999-09-28,8.437500,8.718750,8.406250,8.554675,5.736921,406400
1999-09-29,8.468750,8.578125,8.125000,8.562500,5.742168,1266400
1999-09-30,8.523425,8.578125,8.140625,8.421875,5.647864,1072400
1999-10-01,8.406250,8.437500,8.203125,8.281250,5.553556,190000
1999-10-04,8.312500,8.343750,8.125000,8.140625,5.459253,388400
1999-10-05,8.125000,8.265625,8.125000,8.234375,5.522121,191600
1999-10-06,8.250000,8.406250,8.187500,8.359375,5.605949,308000
1999-10-07,8.390625,8.671875,8.375000,8.437500,5.658341,600800
1999-10-08,8.437500,8.750000,8.406250,8.562500,5.742168,293200
1999-10-11,8.609375,8.687500,8.609375,8.625000,5.784081,362400
1999-10-12,8.625000,8.656250,8.375000,8.375000,5.616427,284400
1999-10-13,8.500000,8.500000,8.000000,8.125000,5.448772,399200
1999-10-14,8.140625,8.250000,8.125000,8.187500,5.490685,276000
1999-10-15,8.109375,8.312500,8.031250,8.125000,5.448772,341200
1999-10-18,8.171875,8.281250,8.125000,8.187500,5.490685,290400
1999-10-19,8.265625,8.312500,8.109375,8.203125,5.501164,276800
1999-10-20,8.328125,8.375000,8.218750,8.312500,5.574513,533600
1999-10-21,8.234375,8.281250,8.234375,8.265625,5.543079,232400
1999-10-22,8.281250,8.343750,8.265625,8.296875,5.564035,329200
1999-10-25,8.250000,8.296875,8.125000,8.171875,5.480206,396000
1999-10-26,8.156250,8.187500,7.781250,7.843750,5.260163,982400
1999-10-27,7.859375,8.500000,7.859375,8.250000,5.532601,472400
1999-10-28,8.250000,8.281250,8.062500,8.156250,5.469730,902800
1999-10-29,8.125000,8.515625,8.125000,8.453125,5.668820,520000
1999-11-01,8.453125,8.500000,8.281250,8.281250,5.553556,291600
1999-11-02,8.281250,8.375000,8.281250,8.343750,5.595472,364000
1999-11-03,8.375000,8.406250,8.109375,8.250000,5.532601,369600
1999-11-04,8.281250,8.343750,7.750000,7.812500,5.239205,635600
1999-11-05,7.828125,7.937500,7.312500,7.421875,4.977244,4198400
1999-11-08,7.437500,7.437500,7.125000,7.203125,4.830547,774800
1999-11-09,7.312500,7.437500,6.859375,7.031250,4.715284,1223200
1999-11-10,7.062500,7.812500,7.031250,7.812500,5.239205,1954800
1999-11-11,7.828125,8.062500,7.750000,7.906250,5.302076,725200
1999-11-12,7.906250,8.031250,7.906250,7.968750,5.343990,370400
1999-11-15,8.023425,8.031250,7.906250,8.015625,5.375427,431600
1999-11-16,8.015625,8.031250,7.968750,8.000000,5.364946,1638800
1999-11-17,8.015625,8.046875,7.796875,7.843750,5.260163,1310000
1999-11-18,7.890625,8.484375,7.781250,8.390625,5.626906,1110800
1999-11-19,8.406250,8.406250,8.062500,8.125000,5.448772,283600
1999-11-22,8.125000,8.437500,8.062500,8.375000,5.616427,482800
1999-11-23,8.312500,8.687500,8.312500,8.687500,5.825995,338800
1999-11-24,8.500000,8.718750,8.500000,8.718750,5.846952,556000
1999-11-26,8.593750,8.718750,8.562500,8.625000,5.784081,140800
1999-11-29,8.625000,8.625000,8.531250,8.531250,5.721213,132000
1999-11-30,8.625000,8.812500,8.593750,8.718750,5.846952,384800
1999-12-01,8.765625,8.875000,8.750000,8.875000,5.951737,474800
1999-12-02,8.843750,8.843750,8.750000,8.781250,5.888865,396000
1999-12-03,8.781250,8.906250,8.593750,8.906250,5.972694,789600
1999-12-06,8.843750,8.843750,8.718750,8.781250,5.888865,231200
1999-12-07,8.781250,8.781250,8.625000,8.781250,5.888865,155200
1999-12-08,8.734375,8.765625,8.687500,8.765625,5.932432,318000
1999-12-09,8.687500,8.875000,8.640625,8.640625,5.847835,245200
1999-12-10,8.734375,8.734375,8.250000,8.359375,5.657491,503200
1999-12-13,8.250000,8.687500,8.218750,8.500000,5.752666,357200
1999-12-14,8.500000,8.718750,8.500000,8.687500,5.879558,83600
1999-12-15,8.687500,8.828125,8.625000,8.781250,5.943009,269600
1999-12-16,8.750000,8.875000,8.718750,8.875000,6.006460,512400
1999-12-17,8.992175,9.250000,8.937500,9.046875,6.122781,1523600
1999-12-20,9.101550,9.640625,9.046875,9.562500,6.471745,1155200
1999-12-21,9.625000,10.000000,9.578125,9.750000,6.598643,1592400
1999-12-22,9.812500,9.812500,9.468750,9.492175,6.424154,770400
1999-12-23,9.500000,9.656250,9.437500,9.656250,6.535196,518400
1999-12-27,9.578125,10.000000,9.578125,10.000000,6.767838,1680000
1999-12-28,9.968750,10.515625,9.843750,10.515625,7.116805,556800
1999-12-29,10.343750,10.375000,10.109375,10.125000,6.852440,838800
1999-12-30,10.109375,10.218750,9.937500,9.937500,6.725541,256400
1999-12-31,9.968750,9.996075,9.812500,9.937500,6.725541,133200
2000-01-03,10.000000,10.000000,9.718750,9.781250,6.619797,1029600
2000-01-04,9.625000,9.625000,9.453125,9.453125,6.397724,805600
2000-01-05,9.375000,9.437500,9.265625,9.328125,6.313124,809600
2000-01-06,9.250000,9.375000,9.250000,9.375000,6.344849,1070800
2000-01-07,9.390625,9.500000,9.296875,9.500000,6.429449,554800
2000-01-10,9.562500,9.968750,9.500000,9.921875,6.714966,300800
2000-01-11,9.875000,9.968750,9.703125,9.765625,6.609220,247600
2000-01-12,9.781250,9.968750,9.750000,9.843750,6.662093,482800
2000-01-13,9.812500,9.968750,9.812500,9.937500,6.725541,122800
2000-01-14,9.875000,10.031250,9.859375,10.000000,6.767838,304000
2000-01-18,9.953125,10.000000,9.906250,9.921875,6.714966,208000
2000-01-19,9.890625,10.234375,9.875000,10.218750,6.915888,353200
2000-01-20,10.203125,10.203125,10.046875,10.109375,6.841866,262400
2000-01-21,10.101550,10.101550,9.812500,9.828125,6.651515,538000
2000-01-24,9.875000,10.343750,9.812500,10.296875,6.968760,606000
2000-01-25,10.281250,10.515625,10.046875,10.125000,6.852440,1126800
2000-01-26,10.218750,10.218750,9.890625,10.187500,6.894737,794800
2000-01-27,10.187500,10.187500,9.968750,9.984375,6.757265,111600
2000-01-28,9.968750,10.375000,9.937500,10.375000,7.021633,488400
2000-01-31,10.265625,10.531250,10.000000,10.171875,6.884162,376000
2000-02-01,10.187500,10.312500,9.843750,10.312500,6.979337,411200
2000-02-02,10.195300,10.750000,10.125000,10.640625,7.201403,793600
2000-02-03,10.640625,10.656250,10.500000,10.625000,7.190830,184000
2000-02-04,10.625000,10.765625,10.578125,10.703125,7.243703,290400
2000-02-07,10.656250,10.875000,10.511700,10.875000,7.360028,422400
2000-02-08,10.875000,11.312500,10.859375,11.046875,7.476349,686000
2000-02-09,11.062500,12.250000,11.062500,11.968750,8.100260,1471200
2000-02-10,12.062500,12.093750,11.781250,11.796875,7.983937,696000
2000-02-11,11.906250,11.906250,10.890625,10.890625,7.370602,972800
2000-02-14,11.031250,11.062500,10.437500,10.812500,7.317725,484400
2000-02-15,10.812500,10.875000,10.281250,10.437500,7.063933,718000
2000-02-16,10.562500,10.718750,10.558575,10.656250,7.211980,266800
2000-02-17,10.679675,10.734375,10.468750,10.531250,7.127381,282400
2000-02-18,10.625000,10.625000,10.187500,10.187500,6.894737,224000
2000-02-22,10.156250,10.531250,10.000000,10.375000,7.021633,488800
2000-02-23,11.125000,11.562500,10.968750,11.171875,7.560946,2728000
2000-02-24,11.125000,11.625000,11.093750,11.312500,7.656120,1463200
2000-02-25,11.343750,11.593750,11.312500,11.476550,7.767144,938400
2000-02-28,11.500000,12.531250,11.390625,12.375000,8.375202,1347600
2000-02-29,12.375000,12.843750,12.218750,12.750000,8.628997,11688800
2000-03-01,12.601550,12.640625,12.453125,12.562500,8.502098,3234000
2000-03-02,12.593750,12.609375,12.406250,12.414050,8.401633,2401600
2000-03-03,12.500000,12.511700,12.390625,12.406250,8.396351,1906000
2000-03-06,12.421875,12.421875,12.375000,12.390625,8.440201,714800
2000-03-07,12.375000,12.734375,12.343750,12.734375,8.674356,859200
2000-03-08,12.593750,12.968750,12.593750,12.718750,8.663715,812000
2000-03-09,12.812500,12.812500,12.593750,12.593750,8.578568,338400
2000-03-10,12.593750,12.609375,12.343750,12.359375,8.418918,488000
2000-03-13,12.312500,12.312500,11.875000,12.156250,8.280552,560400
2000-03-14,12.156250,12.218750,10.843750,11.515625,7.844173,1622000
2000-03-15,11.562500,11.625000,11.343750,11.359375,7.737741,2358400
2000-03-16,11.406250,11.500000,10.718750,11.015625,7.503584,1012400
2000-03-17,10.554675,10.765625,10.421875,10.421875,7.099138,960400
2000-03-20,10.843750,10.875000,10.000000,10.031250,6.833049,976400
2000-03-21,10.156250,10.281250,9.828125,10.265625,6.992701,604800
2000-03-22,10.390625,10.515625,10.281250,10.515625,7.162998,574800
2000-03-23,10.500000,10.562500,10.421875,10.515625,7.162998,1060000
2000-03-24,10.625000,10.625000,10.500000,10.500000,7.152351,573600
2000-03-27,10.593750,10.593750,10.359375,10.468750,7.131066,228000
2000-03-28,10.492175,10.515625,10.468750,10.468750,7.131066,491600
2000-03-29,10.468750,10.531250,10.062500,10.125000,6.896911,425600
2000-03-30,10.156250,10.531250,9.875000,9.890625,6.737260,551200
2000-03-31,10.031250,10.218750,9.312500,9.312500,6.343455,2133200
2000-04-03,9.500000,9.562500,8.578125,8.750000,5.960295,711600
2000-04-04,8.890625,10.843750,8.750000,10.093750,6.875627,3248000
2000-04-05,9.937500,10.343750,9.687500,9.843750,6.705332,2910400
2000-04-06,9.875000,10.531250,9.765625,10.093750,6.875627,540000
2000-04-07,10.265625,10.953125,10.156250,10.859375,7.397148,763200
2000-04-10,10.718750,11.000000,10.421875,10.421875,7.099138,771600
2000-04-11,10.390625,11.281250,10.156250,10.531250,7.173640,438400
2000-04-12,10.531250,11.562500,10.531250,11.500000,7.833528,639600
2000-04-13,11.500000,11.531250,10.968750,11.015625,7.503584,713200
2000-04-14,10.953125,10.953125,9.687500,10.312500,7.024632,308400
2000-04-17,10.250000,10.500000,9.609375,10.328125,7.035277,1004000
2000-04-18,10.312500,11.875000,10.265625,11.250000,7.663236,1580400
2000-04-19,11.421875,11.750000,10.937500,11.726550,7.987849,599200
2000-04-20,11.750000,12.296875,11.484375,12.000000,8.174118,1030000
2000-04-24,12.000000,12.484375,11.859375,12.218750,8.323123,724400
2000-04-25,12.312500,12.390625,11.875000,12.359375,8.418918,299200
2000-04-26,12.437500,12.437500,12.000000,12.046875,8.206048,256800
2000-04-27,11.937500,12.421875,11.687500,12.312500,8.386984,384400
2000-04-28,12.359375,12.531250,12.218750,12.500000,8.514701,654400
2000-05-01,12.437500,12.750000,12.437500,12.593750,8.578568,1045200
2000-05-02,12.500000,12.671875,12.437500,12.656250,8.621141,547200
2000-05-03,12.625000,12.687500,11.500000,11.843750,8.067682,508400
2000-05-04,12.031250,12.687500,11.875000,12.093750,8.237979,1424400
2000-05-05,12.156250,13.062500,12.093750,12.968750,8.834007,1543600
