Date,Open,High,Low,Close,Adj Close,Volume
1999-03-05,7.031250,7.296880,7.031250,7.234380,2.572281,137200
1999-03-08,7.234380,7.234380,7.125000,7.140620,2.538944,179200
1999-03-09,7.031250,7.093750,6.750000,6.750000,2.400055,423600
1999-03-10,6.750000,7.015620,6.750000,6.984380,2.483391,178400
1999-03-11,7.000000,7.140620,6.953120,7.093750,2.522280,435600
1999-03-12,7.093750,7.265620,7.062500,7.156250,2.544502,277200
1999-03-15,7.156250,7.390620,7.156250,7.359380,2.616727,359600
1999-03-16,7.328120,7.593750,7.296880,7.593750,2.700060,388400
1999-03-17,7.546880,7.687500,7.546880,7.625000,2.711171,248400
1999-03-18,7.609380,7.656250,7.531250,7.562500,2.688949,400800
1999-03-19,7.515620,7.562500,7.500000,7.531250,2.677840,224800
1999-03-22,7.500000,7.687500,7.500000,7.656250,2.722284,391200
1999-03-23,7.625000,7.640620,7.421880,7.421880,2.638950,319600
1999-03-24,7.421880,7.562500,7.421880,7.546880,2.683395,130000
1999-03-25,7.500000,7.687500,7.500000,7.593750,2.700060,149200
1999-03-26,7.546880,7.859380,7.484380,7.546880,2.683395,418400
1999-03-29,7.562500,7.578120,7.437500,7.500000,2.666728,118400
1999-03-30,7.500000,7.515620,7.343750,7.437500,2.644505,205600
1999-03-31,7.468750,7.937500,7.328120,7.937500,2.822285,664800
1999-04-01,7.937500,7.953120,7.859380,7.890620,2.805618,140000
1999-04-05,7.890620,7.937500,7.734380,7.828120,2.783394,148800
1999-04-06,7.765620,7.765620,7.515620,7.515620,2.672281,122000
1999-04-07,7.531250,7.546880,7.484380,7.531250,2.677840,156400
1999-04-08,7.515620,7.625000,7.515620,7.546880,2.683395,195600
1999-04-09,7.500000,7.640620,7.500000,7.562500,2.688949,296400
1999-04-12,7.593750,8.468750,7.546880,8.406250,2.988956,615600
1999-04-13,8.375000,8.609380,8.375000,8.593750,3.055624,805600
1999-04-14,8.593750,8.734380,8.468750,8.687500,3.088959,1655600
1999-04-15,8.625000,9.171880,8.546880,9.140620,3.250073,556400
1999-04-16,9.062500,9.062500,8.750000,9.000000,3.200072,259200
1999-04-19,9.000000,9.312500,8.968750,9.281250,3.300075,502800
1999-04-20,9.281250,9.343750,9.250000,9.343750,3.322297,316000
1999-04-21,9.343750,9.687500,9.125000,9.125000,3.244518,1038000
1999-04-22,9.140620,9.140620,8.984380,9.109380,3.238965,203200
1999-04-23,9.062500,9.343750,9.062500,9.203120,3.272295,213600
1999-04-26,9.203120,9.234380,9.062500,9.234380,3.283408,338000
1999-04-27,9.234380,9.562500,9.234380,9.468750,3.366744,324400
1999-04-28,9.468750,9.640620,9.437500,9.500000,3.377855,176800
1999-04-29,9.468750,9.484380,9.375000,9.421880,3.422123,329200
1999-04-30,9.375000,9.468750,9.375000,9.421880,3.422123,239600
1999-05-03,9.375000,9.437500,9.328120,9.406250,3.416445,364000
1999-05-04,9.406250,9.453120,9.375000,9.406250,3.416445,189200
1999-05-05,9.421880,9.437500,9.359380,9.406250,3.416445,287600
1999-05-06,9.406250,9.484380,9.406250,9.453120,3.433468,202400
1999-05-07,9.437500,9.484380,9.406250,9.484380,3.444822,155600
1999-05-10,9.468750,9.593750,9.468750,9.562500,3.473197,349200
1999-05-11,9.562500,9.593750,9.406250,9.437500,3.427796,138400
1999-05-12,9.406250,9.484380,9.250000,9.484380,3.444822,199200
1999-05-13,9.484380,9.625000,9.453120,9.593750,3.484547,132000
1999-05-14,9.593750,9.625000,9.421880,9.593750,3.484547,161200
1999-05-17,9.593750,9.593750,9.296880,9.312500,3.382396,110400
1999-05-18,9.359380,9.656250,9.359380,9.562500,3.473197,291200
1999-05-19,9.531250,9.843750,9.531250,9.781250,3.552648,527600
1999-05-20,9.796880,10.000000,9.796880,9.953120,3.615077,354800
1999-05-21,10.000000,10.578120,10.000000,10.421880,3.785334,562800
1999-05-24,10.453120,10.750000,10.453120,10.578120,3.842080,615200
1999-05-25,10.578120,10.578120,10.468750,10.500000,3.813706,164400
1999-05-26,10.531250,10.812500,10.531250,10.796880,3.921536,286400
1999-05-27,10.812500,10.859380,10.687500,10.750000,3.904510,194800
1999-05-28,10.859380,10.875000,10.765620,10.765620,3.910183,92000
1999-06-01,10.750000,10.750000,10.562500,10.750000,3.904510,277200
1999-06-02,10.687500,10.765620,10.625000,10.750000,3.904510,408000
1999-06-03,10.750000,10.828120,10.734380,10.796880,3.921536,115200
1999-06-04,10.796880,10.859380,10.750000,10.796880,3.921536,103200
1999-06-07,10.828120,10.937500,10.828120,10.921880,3.966938,95200
1999-06-08,10.921880,11.406250,10.890620,11.125000,4.040713,246400
1999-06-09,11.234380,11.359380,11.203120,11.250000,4.086113,220000
1999-06-10,11.250000,11.421880,11.218750,11.406250,4.142866,365200
1999-06-11,11.406250,11.406250,11.296880,11.312500,4.108815,64800
1999-06-14,11.218750,11.265620,11.171880,11.187500,4.063415,132000
1999-06-15,11.156250,11.250000,11.156250,11.171880,4.057740,172000
1999-06-16,11.125000,11.250000,11.062500,11.187500,4.063415,74000
1999-06-17,11.156250,11.156250,10.937500,10.953120,3.978284,128000
1999-06-18,11.000000,11.000000,10.750000,10.796880,3.921536,418400
1999-06-21,10.812500,10.812500,10.687500,10.734380,3.898835,297600
1999-06-22,10.687500,10.828120,10.609380,10.734380,3.898835,116000
1999-06-23,10.796880,11.000000,10.796880,10.968750,3.983960,176800
1999-06-24,10.937500,11.000000,10.812500,10.812500,3.927210,58400
1999-06-25,10.875000,10.937500,10.750000,10.796880,3.921536,80000
1999-06-28,10.843750,11.250000,10.843750,11.250000,4.086113,218800
1999-06-29,11.250000,11.250000,10.890620,11.046880,4.012340,324800
1999-06-30,11.046880,11.125000,10.859380,10.875000,3.949911,618400
1999-07-01,10.937500,10.968750,10.843750,10.968750,3.983960,99600
1999-07-02,10.968750,11.031250,10.968750,11.031250,4.006662,66800
1999-07-06,11.093750,11.187500,10.765620,10.781250,3.915859,115200
1999-07-07,10.781250,10.828120,10.687500,10.703120,3.887482,116800
1999-07-08,10.687500,10.890620,10.671880,10.843750,3.938560,130000
1999-07-09,10.843750,11.187500,10.843750,11.187500,4.063415,173600
1999-07-12,11.234380,11.250000,11.140620,11.187500,4.063415,110000
1999-07-13,11.156250,11.171880,11.125000,11.156250,4.052063,55600
1999-07-14,11.125000,11.171880,11.093750,11.156250,4.052063,89600
1999-07-15,11.093750,11.156250,10.968750,11.156250,4.052063,160400
1999-07-16,11.125000,11.125000,10.750000,10.765620,3.910183,290000
1999-07-19,10.812500,10.812500,10.250000,10.375000,3.768304,437600
1999-07-20,10.390620,10.656250,10.375000,10.500000,3.813706,369200
1999-07-21,10.546880,10.843750,10.500000,10.515620,3.819380,330800
1999-07-22,10.546880,10.546880,10.390620,10.421880,3.785334,157600
1999-07-23,10.421880,10.421880,10.312500,10.390620,3.773979,80400
1999-07-26,10.375000,10.390620,10.203120,10.218750,3.711554,99200
1999-07-27,10.156250,10.203120,10.125000,10.156250,3.688854,127600
1999-07-28,10.125000,10.125000,9.062500,9.812500,3.564000,1168800
1999-07-29,9.750000,9.953120,9.750000,9.906250,3.672913,475200
1999-07-30,9.906250,9.906250,9.812500,9.843750,3.649739,190000
1999-08-02,9.843750,9.843750,9.687500,9.703120,3.597599,170400
1999-08-03,9.687500,9.718750,9.656250,9.687500,3.591808,145600
1999-08-04,9.656250,9.734380,9.515620,9.515620,3.528080,507200
1999-08-05,9.531250,9.531250,9.343750,9.453120,3.504905,410400
1999-08-06,9.437500,9.437500,9.343750,9.359380,3.470151,233600
1999-08-09,9.359380,9.375000,9.265620,9.296880,3.446978,205600
1999-08-10,9.281250,9.296880,9.109380,9.234380,3.423804,342800
1999-08-11,9.234380,9.250000,9.203120,9.250000,3.429597,230800
1999-08-12,9.218750,9.250000,9.187500,9.203120,3.412215,306800
1999-08-13,9.234380,9.250000,9.171880,9.218750,3.418011,388800
1999-08-16,9.218750,9.218750,9.187500,9.218750,3.418011,430400
1999-08-17,9.218750,9.218750,9.203120,9.210940,3.415115,187200
1999-08-18,9.218750,9.218750,9.125000,9.125000,3.383250,78800
1999-08-19,9.125000,9.156250,9.093750,9.156250,3.394837,307600
1999-08-20,9.140620,9.156250,9.078120,9.093750,3.371664,167600
1999-08-23,9.046880,9.125000,9.046880,9.078120,3.365868,94800
1999-08-24,9.078120,9.078120,8.843750,8.953120,3.319522,238000
1999-08-25,8.953120,9.031250,8.906250,9.031250,3.348493,187600
1999-08-26,9.031250,9.171880,9.015620,9.062500,3.360078,191200
