Date,Open,High,Low,Close,Adj Close,Volume
1999-03-05,29.416666,29.812500,29.208334,29.541666,15.329769,1806300
1999-03-08,29.458334,29.583334,29.208334,29.416666,15.264900,880200
1999-03-09,29.375000,30.291666,29.291666,29.770834,15.448687,2878800
1999-03-10,29.895834,30.687500,29.895834,30.562500,15.859500,1818600
1999-03-11,30.708334,30.958334,30.541666,30.833334,16.000046,1435500
1999-03-12,30.916666,31.000000,30.666666,30.750000,15.956797,1477500
1999-03-15,30.833334,31.145834,30.729166,31.000000,16.086529,1201200
1999-03-16,31.000000,31.000000,30.395834,30.541666,15.848688,1254600
1999-03-17,30.604166,30.750000,29.958334,30.541666,15.848688,1550100
1999-03-18,30.562500,31.937500,30.500000,31.854166,16.529774,1989900
1999-03-19,31.937500,31.937500,30.791666,30.875000,16.021662,2103300
1999-03-22,30.916666,30.979166,30.729166,30.875000,16.021662,759300
1999-03-23,30.916666,30.916666,30.166666,30.708334,15.935177,1554000
1999-03-24,30.687500,30.979166,30.479166,30.645834,15.902744,1036500
1999-03-25,30.708334,31.166666,30.666666,31.020834,16.097338,998400
1999-03-26,30.958334,31.250000,30.916666,30.979166,16.075714,1350600
1999-03-29,31.020834,31.250000,30.937500,31.104166,16.298416,800400
1999-03-30,30.500000,30.833334,30.291666,30.604166,16.036419,1307100
1999-03-31,30.770834,30.937500,29.791666,29.833334,15.632497,1621800
1999-04-01,30.041666,30.041666,29.500000,29.729166,15.577924,958200
1999-04-05,29.833334,30.916666,29.833334,30.875000,16.178329,1427400
1999-04-06,30.916666,31.666666,30.875000,31.375000,16.440331,1749300
1999-04-07,31.395834,32.458332,31.375000,32.395832,16.975239,1735200
1999-04-08,32.375000,33.145832,32.375000,33.062500,17.324568,2205600
1999-04-09,32.916668,33.270832,32.854168,32.895832,17.237238,1479600
1999-04-12,32.812500,34.145832,32.583332,33.958332,17.793976,2060400
1999-04-13,33.937500,34.833332,33.916668,34.479168,18.066895,1936500
1999-04-14,34.875000,35.333332,34.479168,34.562500,18.110552,1989900
1999-04-15,34.562500,34.562500,33.791668,34.229168,17.935892,1705200
1999-04-16,34.125000,34.250000,32.750000,33.312500,17.455561,1557400
1999-04-19,33.750000,34.875000,33.687500,34.250000,17.946815,1449200
1999-04-20,34.187500,34.750000,33.375000,33.875000,17.750311,1042500
1999-04-21,33.500000,34.625000,33.125000,34.500000,18.077820,963300
1999-04-22,34.687500,34.687500,32.312500,33.250000,17.422829,2342600
1999-04-23,33.000000,34.250000,32.812500,33.125000,17.357313,981100
1999-04-26,33.187500,33.187500,31.312500,31.812500,16.669577,1310500
1999-04-27,32.062500,32.812500,31.812500,32.625000,17.095318,2254100
1999-04-28,32.687500,33.312500,31.812500,31.937500,16.735077,1128900
1999-04-29,32.000000,32.250000,31.187500,31.562500,16.538574,1673800
1999-04-30,31.625000,31.750000,29.625000,30.062500,15.752576,2499000
1999-05-03,30.000000,30.375000,28.437500,30.375000,15.916334,8753200
1999-05-04,30.250000,30.250000,29.375000,29.500000,15.457834,2894700
1999-05-05,29.500000,29.625000,28.250000,29.437500,15.425091,3142500
1999-05-06,29.000000,29.500000,28.812500,29.312500,15.359590,2300600
1999-05-07,29.500000,29.500000,29.187500,29.437500,15.425091,1706100
1999-05-10,29.312500,29.562500,28.937500,29.500000,15.457834,1648400
1999-05-11,30.000000,30.000000,29.500000,29.812500,15.621594,2543600
1999-05-12,29.750000,29.812500,28.625000,28.687500,15.032093,3066400
1999-05-13,28.937500,29.812500,28.750000,29.812500,15.621594,3415300
1999-05-14,29.375000,29.500000,28.937500,29.312500,15.359590,2440600
1999-05-17,29.250000,29.312500,28.500000,28.562500,14.966599,3869700
1999-05-18,28.562500,28.750000,26.750000,27.062500,14.180602,6367400
1999-05-19,27.937500,28.937500,27.500000,28.937500,15.163089,2852500
1999-05-20,29.125000,29.625000,29.062500,29.312500,15.359590,2661100
1999-05-21,29.312500,29.562500,29.000000,29.125000,15.261342,1984600
1999-05-24,29.187500,29.187500,28.312500,28.375000,14.868346,2058500
1999-05-25,28.437500,28.500000,27.812500,27.812500,14.573598,1521900
1999-05-26,27.812500,29.250000,27.625000,29.187500,15.294093,1795400
1999-05-27,29.000000,29.000000,27.687500,27.687500,14.585128,2101800
1999-05-28,28.000000,29.000000,28.000000,28.812500,15.177752,1503200
1999-06-01,28.687500,28.750000,27.875000,28.750000,15.144829,1037000
1999-06-02,28.750000,28.750000,28.187500,28.250000,14.881441,842100
1999-06-03,28.250000,28.625000,28.250000,28.437500,14.980215,3456100
1999-06-04,28.250000,28.375000,27.875000,28.187500,14.848518,1265100
1999-06-07,28.187500,28.375000,28.062500,28.187500,14.848518,729400
1999-06-08,28.187500,28.187500,27.375000,27.812500,14.650978,987700
1999-06-09,27.687500,27.875000,27.187500,27.312500,14.387584,775200
1999-06-10,26.812500,27.250000,26.250000,26.500000,13.959585,1037400
1999-06-11,26.562500,27.125000,26.500000,26.625000,14.025431,933000
1999-06-14,26.875000,27.312500,26.625000,26.687500,14.058355,828800
1999-06-15,26.437500,27.312500,26.437500,26.812500,14.124197,800400
1999-06-16,27.500000,27.812500,27.250000,27.375000,14.420518,1036500
1999-06-17,26.000000,27.687500,26.000000,27.437500,14.453432,1488900
1999-06-18,27.437500,27.937500,27.437500,27.875000,14.683895,2889100
1999-06-21,28.250000,28.250000,27.812500,28.187500,14.848518,1167200
1999-06-22,28.062500,28.125000,27.375000,27.437500,14.453432,846100
