"","STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS","DATA"
"3749","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-02",NA,41,5,36,1962-02-02
"3750","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-03",NA,43,28,37,1962-02-03
"3751","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-04",NA,40,10,10,1962-02-04
"3752","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-05",NA,10,-13,-13,1962-02-05
"3753","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-06",NA,0,-21,-4,1962-02-06
"3754","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-07",NA,5,-7,-2,1962-02-07
"3755","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-08",NA,10,-16,8,1962-02-08
"3756","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-09",NA,17,3,12,1962-02-09
"3757","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-10",NA,24,7,24,1962-02-10
"3758","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-11",NA,31,24,31,1962-02-11
"3759","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-12",NA,32,28,29,1962-02-12
"3760","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-13",NA,33,28,32,1962-02-13
"3761","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-14",NA,35,24,25,1962-02-14
"3762","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-15",NA,33,24,29,1962-02-15
"3763","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-16",NA,32,13,13,1962-02-16
"3764","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-17",NA,18,-1,15,1962-02-17
"3765","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-18",NA,18,7,14,1962-02-18
"3766","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-19",NA,22,8,13,1962-02-19
"3767","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-20",NA,14,-5,11,1962-02-20
"3768","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-21",NA,16,5,10,1962-02-21
"3769","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-22",NA,17,1,10,1962-02-22
"3770","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-23",NA,15,1,14,1962-02-23
"3771","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-24",NA,17,4,11,1962-02-24
"3772","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-25",NA,16,2,13,1962-02-25
"3773","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-26",NA,13,-1,-1,1962-02-26
"3774","USC00211691","COLLEGEVILLE ST. JOHN S, MN US","1962-02-27",NA,0,-18,-8,1962-02-27
